Elemento;Red cristalina ;Radio atómico (Á);Dimensión de la red a (Á)
Aluminio;FCC;1,431;4,049
Berilio;HCP;1,142;2,286
Cromo;BCC;1,249;2,884
Cobalto;HCP;1,254;2,507
Cobre;FCC;1,278;3,615
Oro;FCC;1,441;4,079
Hierro;BCC;1,241;2,866
Plomo;FCC;1,75;4,951
Magnesio;HCP;1,604;3,209
Niquel;FCC;1,246;3,524
Paladio;FCC;1,375;3,89
Platino;FCC;1,388;3,923
Potasio;BCC;2,312;5,334
Plata;FCC;1,444;4,086
Titanio;HCP;1,475;2,95
Vanadio;BCC;1,316;3,039
Cinc;HCP;1,332;2,665
